coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_one,1.0,T
coef_mode_choice_logsum,1.821,F
coef_distance_joint,-0.1238,F
coef_util_distance_work_outbound,-0.049725916,F
coef_util_distance_work_inbound,0.147813279,F
coef_util_distance_univ,-0.0613,F
coef_util_distance_school,-0.1056,F
coef_util_distance_escort,-0.1491,F
coef_util_distance_shopping,-0.1192,F
coef_util_distance_eatout,-0.1029,F
coef_util_distance_othmaint,-0.205,F
coef_util_distance_social,-0.1329,F
coef_util_distance_othdiscr,-0.146172224,F
coef_util_distance_atwork,-0.167334597,F
coef_prox_home_outbound_work,-0.38,F
coef_prox_home_inbound_work,-0.15,F
coef_prox_dest_outbound_work,-0.26,F
coef_ood_work,0.975672691825895,F
coef_ood_univ,0.34952547864508837,F
coef_ood_school_1,1.792562866877528,T
coef_ood_school_2,0.492562866877528,T
coef_ood_escort,1.9583138505704512,F
coef_ood_imaint,1.328848016520654,F
coef_ood_idisc,1.436118018192894,F
coef_ood_jmaint,1.8778970460587354,F
coef_ood_jdisc,1.6372482447414292,F
coef_ood_atwork,0.4205223661271827,F
